TEAM_ID,LEAGUE_ID,SEASON_ID,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612744,0,22018,2019-09-29,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-29,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-29,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-29,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-29,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-29,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-29,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-29,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-29,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-29,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-29,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-29,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-29,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-29,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-29,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-28,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-28,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-28,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-28,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-28,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-28,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-28,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-28,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-28,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-28,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-28,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-28,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-28,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-28,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-28,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-27,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-27,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-27,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-27,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-27,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-27,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-27,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-27,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-27,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-27,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-27,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-27,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-27,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-27,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-27,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-26,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-26,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-26,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-26,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-26,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-26,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-26,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-26,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-26,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-26,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-26,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-26,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-26,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-26,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-26,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-25,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-25,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-25,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-25,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-25,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-25,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-25,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-25,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-25,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-25,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-25,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-25,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-25,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-25,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-25,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-24,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-24,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-24,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-24,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-24,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-24,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-24,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-24,West,San Antonio,82,48,34,0.585,32-9,16-25
1610612758,0,22018,2019-09-24,West,Sacramento,82,39,43,0.476,24-17,15-26
1610612747,0,22018,2019-09-24,West,L.A. Lakers,82,37,45,0.451,22-19,15-26
1610612750,0,22018,2019-09-24,West,Minnesota,82,36,46,0.439,25-16,11-30
1610612742,0,22018,2019-09-24,West,Dallas,82,33,49,0.402,24-17,9-32
1610612763,0,22018,2019-09-24,West,Memphis,82,33,49,0.402,21-20,12-29
1610612740,0,22018,2019-09-24,West,New Orleans,82,33,49,0.402,19-22,14-27
1610612756,0,22018,2019-09-24,West,Phoenix,82,19,63,0.2319999999999999,12-29,7-34
1610612744,0,22018,2019-09-23,West,Golden State,82,57,25,0.695,30-11,27-14
1610612743,0,22018,2019-09-23,West,Denver,82,54,28,0.659,34-7,20-21
1610612745,0,22018,2019-09-23,West,Houston,82,53,29,0.6459999999999999,31-10,22-19
1610612757,0,22018,2019-09-23,West,Portland,82,53,29,0.6459999999999999,32-9,21-20
1610612762,0,22018,2019-09-23,West,Utah,82,50,32,0.61,29-12,21-20
1610612760,0,22018,2019-09-23,West,Oklahoma City,82,49,33,0.598,27-14,22-19
1610612746,0,22018,2019-09-23,West,LA Clippers,82,48,34,0.585,26-15,22-19
1610612759,0,22018,2019-09-23,West,San Antonio,82,48,34,0.585,32-9,16-25
