,state,race,type,Num Workers,Num Artists,artists_share,location_quotient
429,Illinois,Asian,Landscape Architects,378055,100.0,0.00026451177738688814,1.1010749349475353
437,Massachusetts,Asian,Landscape Architects,249930,85.0,0.0003400952266634658,1.4157038044726598
446,New Jersey,Asian,Landscape Architects,450385,195.0,0.00043296290951075193,1.802281214597736
448,New York,Asian,Landscape Architects,864770,340.0,0.0003931681256287799,1.6366287075261716
449,North Carolina,Asian,Landscape Architects,154710,70.0,0.0004524594402430353,1.8834388156687565
453,Oregon,Asian,Landscape Architects,98010,35.0,0.0003571064177124783,1.4865157594741012
454,Pennsylvania,Asian,Landscape Architects,227500,95.0,0.0004175824175824176,1.738257320022026
459,Texas,Asian,Landscape Architects,712575,135.0,0.0001894537417113988,0.788633188250566
462,Virginia,Asian,Landscape Architects,304945,30.0,9.837839610421552e-05,0.4095166845151655
463,Washington,Asian,Landscape Architects,355135,30.0,8.447491798893379e-05,0.3516411093231507
469,Alaska,Other,Landscape Architects,71330,4.0,5.6077386793775406e-05,0.4017039878668927
472,California,Other,Landscape Architects,688910,165.0,0.0002395087892467812,1.7156939948614478
488,Maryland,Other,Landscape Architects,85910,40.0,0.00046560353858689327,3.3352980391741887
500,New York,Other,Landscape Architects,234265,155.0,0.0006616438648539048,4.739610639078123
506,Pennsylvania,Other,Landscape Architects,104810,30.0,0.00028623222974906974,2.0503920514177167
514,Virginia,Other,Landscape Architects,128845,20.0,0.00015522527067406573,1.111938587238366
520,Alabama,Hispanic,"Fine Artists, Art Directors, And Animators",88165,45.0,0.0005104066239437419,0.6078628168964766
522,Arizona,Hispanic,"Fine Artists, Art Directors, And Animators",1033370,890.0,0.0008612597617503894,1.0257072700429617
524,California,Hispanic,"Fine Artists, Art Directors, And Animators",7470730,6015.0,0.0008051422016322366,0.9588747162112592
525,Colorado,Hispanic,"Fine Artists, Art Directors, And Animators",594525,360.0,0.0006055254194525041,0.7211434372203401
526,Connecticut,Hispanic,"Fine Artists, Art Directors, And Animators",288845,110.0,0.0003808270871920927,0.4535415786386442
528,District of Columbia,Hispanic,"Fine Artists, Art Directors, And Animators",44885,35.0,0.0007797705246741673,0.9286586133990444
529,Florida,Hispanic,"Fine Artists, Art Directors, And Animators",2752995,3330.0,0.0012095917355461,1.4405491723102153
530,Georgia,Hispanic,"Fine Artists, Art Directors, And Animators",467240,565.0,0.0012092286619296,1.4401167740203933
531,Hawaii,Hispanic,"Fine Artists, Art Directors, And Animators",69470,65.0,0.0009356556787102348,1.1143082198100094
533,Illinois,Hispanic,"Fine Artists, Art Directors, And Animators",1100445,765.0,0.0006951733162493355,0.8279085545197838
534,Indiana,Hispanic,"Fine Artists, Art Directors, And Animators",212120,245.0,0.0011550066000377,1.375541641697684
535,Iowa,Hispanic,"Fine Artists, Art Directors, And Animators",90730,55.0,0.0006061942025790808,0.7219399166862074
536,Kansas,Hispanic,"Fine Artists, Art Directors, And Animators",167495,85.0,0.0005074778351592585,0.6043748100464182
537,Kentucky,Hispanic,"Fine Artists, Art Directors, And Animators",76325,30.0,0.0003930560104814936,0.468105472227779
538,Louisiana,Hispanic,"Fine Artists, Art Directors, And Animators",113925,340.0,0.0029844195742813,3.5542596904533625
540,Maryland,Hispanic,"Fine Artists, Art Directors, And Animators",321570,210.0,0.000653045993096371,0.7777375102605859
541,Massachusetts,Hispanic,"Fine Artists, Art Directors, And Animators",401715,340.0,0.000846371183550527,1.007975891452645
542,Michigan,Hispanic,"Fine Artists, Art Directors, And Animators",236520,175.0,0.0007398951462878403,0.8811694964995793
543,Minnesota,Hispanic,"Fine Artists, Art Directors, And Animators",149745,80.0,0.000534241543958062,0.6362487369467692
545,Missouri,Hispanic,"Fine Artists, Art Directors, And Animators",121550,60.0,0.0004936240230357877,0.5878757740482967
547,Nebraska,Hispanic,"Fine Artists, Art Directors, And Animators",99485,20.0,0.0002010353319595919,0.2394206843094284
548,Nevada,Hispanic,"Fine Artists, Art Directors, And Animators",430565,410.0,0.0009522371767328976,1.134055761522027
550,New Jersey,Hispanic,"Fine Artists, Art Directors, And Animators",928940,525.0,0.0005651602902232652,0.6730710572655302
551,New Mexico,Hispanic,"Fine Artists, Art Directors, And Animators",459615,430.0,0.0009355656364565996,1.114200985038032
552,New York,Hispanic,"Fine Artists, Art Directors, And Animators",1819490,2925.0,0.0016075933365943,1.9145445379524264
553,North Carolina,Hispanic,"Fine Artists, Art Directors, And Animators",451040,320.0,0.000709471443774388,0.8449367427642244
555,Ohio,Hispanic,"Fine Artists, Art Directors, And Animators",204545,220.0,0.0010755579456843,1.2809231932521372
556,Oklahoma,Hispanic,"Fine Artists, Art Directors, And Animators",187725,85.0,0.0004527899853509122,0.5392449530362223
557,Oregon,Hispanic,"Fine Artists, Art Directors, And Animators",266060,275.0,0.0010336014432834,1.2309555859757122
558,Pennsylvania,Hispanic,"Fine Artists, Art Directors, And Animators",423215,345.0,0.000815188497572156,0.9708392352103072
560,South Carolina,Hispanic,"Fine Artists, Art Directors, And Animators",134610,15.0,0.00011143302874972142,0.1327098661607058
562,Tennessee,Hispanic,"Fine Artists, Art Directors, And Animators",167595,95.0,0.0005668426862376561,0.6750746871803249
563,Texas,Hispanic,"Fine Artists, Art Directors, And Animators",5220455,3130.0,0.0005995645973387377,0.714044465633537
564,Utah,Hispanic,"Fine Artists, Art Directors, And Animators",213410,195.0,0.000913734126798182,1.0882010031891851
566,Virginia,Hispanic,"Fine Artists, Art Directors, And Animators",427525,370.0,0.0008654464651189987,1.0306933755983498
567,Washington,Hispanic,"Fine Artists, Art Directors, And Animators",448570,365.0,0.0008136968589071941,0.9690627855363791
569,Wisconsin,Hispanic,"Fine Artists, Art Directors, And Animators",186120,90.0,0.00048355899419729207,0.5758889453221345
