,Unnamed: 0,name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
59,60,Steel Pier Ferris Wheel,200.0,,2014-01-01,,USA,Steel Pier; Atlantic City; New Jersey,42.0,,,,20.0,Yes,$12 million USD,Planned,,Fixed,,10 to 15,,
60,61,Suzhou Ferris Wheel,394.0,361.0,2009-05-21,,China,Suzhou; Jiangsu,60.0,5.0,300.0,900.0,20.0,Yes,$45.67 million USD,Operating,,Fixed,,17.94,http://www.szmtl.net/main.html,
61,62,Tbilisi Ferris Wheel,262.0,,2010-01-01,,Georgia,Mtatsminda Park; Tbsilsi,,,,,15.0,,Unknown,,,,,3.5,,
62,63,Technostar,279.0,274.0,1985-01-01,,Japan,Tsukuba; Ibaraki,48.0,8.0,384.0,1536.0,15.0,Yes,Unknown,Defunct,,,,,,
63,64,Tempozan Ferris Wheel,369.0,330.0,1997-07-12,,Japan,Osaka; Honshu,60.0,8.0,480.0,1920.0,15.0,,Unknown,Operating,,Fixed,,6.97,http://www.senyo.co.jp/tempozan/index.html,
64,65,Texas Star,212.0,,1985-01-01,,USA,Fair Park; Dallas; Texas,44.0,6.0,264.0,1320.0,12.0,,$2.2 million USD,Operating,SDC Corp,,,7,,
65,66,The Dubai Eye,690.0,,2015-01-01,,Dubai,,,,,,,Yes,$337 million USD,Under Construction,,,,,http://thedubaieye.com/,
66,67,The Southern Star,394.0,,2008-01-01,,Australia,Waterfront City; Melbourne,21.0,20.0,420.0,840.0,30.0,Yes,$100 million USD,SBNO,,Fixed,,Adults – 27.99 Children – 16.41,http://www.thesouthernstar.com.au/,
67,68,Tianjin Eye,394.0,361.0,2009-04-05,,China,Yongle Bridge; Tianjin,48.0,8.0,384.0,768.0,30.0,Yes,Unknown,Operating,,Fixed,,11.41,http://www.tianjinzhiyan.com/,
68,69,Wheel of Brisbane,200.0,,2008-01-01,,Australia,Brisbane; Australia,42.0,8.0,336.0,1680.0,12.0,Yes,Unknown,,Ronald Bussink/World Tourist Attractions,Transportable,,,http://thewheelofbrisbane.com.au/,
69,70,Wheel of Perth,164.0,,2009-01-01,,Australia,Perth,36.0,6.0,216.0,1296.0,10.0,Yes,$10 million USD,,World Tourist Attractions,Transportable,Yes,Adults – 15 Children – 10 VIP – 119,,3.0
70,71,Wiener Riesenrad,212.0,200.0,1897-01-01,,Austria,Prater; Leopoldstadt; Vienna,15.0,,,,10.0,,Unknown,Operating,Walter Basset,,Yes,Adults – 11.69 Children – 5.19,http://www.wienerriesenrad.com/en,1.0
71,72,Wonder Wheel,150.0,135.0,1920-01-01,,USA,Coney Island; New York City,24.0,6.0,144.0,864.0,10.0,No,Unknown,Operating,Eccentric Ferris Wheel Company,Eccentric,No,7,http://www.wonderwheel.com/,2.0
72,73,Zhengzhou Ferris Wheel,394.0,361.0,2003-01-01,,China,Century Amusement Park; Henan,48.0,8.0,384.0,768.0,30.0,Yes,Unknown,Operating,,Fixed,,,,
